"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.227539217E0,-4.448503852E-1,-4.605150223E-1,3.788652420E-1,7.439790471E-1
3.244376070E0,-3.225324154E-1,-5.379424095E-1,2.411031723E-1,6.719672125E-1
3.261218914E0,-1.481274962E-1,-6.094794273E-1,1.320028305E-1,6.409615236E-1
3.278031872E0,2.533474565E-2,-6.888768673E-1,9.399986267E-2,6.957220435E-1
3.294873607E0,3.288769722E-1,-7.052676678E-1,8.813571930E-2,7.831541681E-1
3.311736837E0,6.046180129E-1,-6.719200611E-1,1.155548096E-1,9.112587032E-1
3.328575155E0,8.654077053E-1,-6.556859016E-1,1.095123291E-1,1.091259570E0
3.345415141E0,1.091945529E0,-6.688420773E-1,1.473388672E-1,1.288954423E0
3.362254732E0,1.294301152E0,-6.644506454E-1,2.366094589E-1,1.474006163E0
3.379088828E0,1.502197504E0,-6.109447479E-1,3.496732712E-1,1.658952146E0
3.395906933E0,1.744984627E0,-5.696597099E-1,4.250583649E-1,1.884186335E0
3.412765728E0,1.986213088E0,-5.415852070E-1,3.883981705E-1,2.095044178E0
3.429616091E0,2.159335852E0,-5.218844414E-1,3.659925461E-1,2.251454027E0
3.446408276E0,2.309486866E0,-4.560153484E-1,4.130582809E-1,2.390041156E0
3.463290377E0,2.616183281E0,-3.751666546E-1,4.629802704E-1,2.683191329E0
3.480127891E0,2.869025230E0,-3.279132843E-1,4.384374619E-1,2.920797888E0
3.496980155E0,2.983710289E0,-2.981796265E-1,3.487625122E-1,3.018786754E0
3.513811932E0,3.123423576E0,-2.451820374E-1,1.964187622E-1,3.139182919E0
3.530662061E0,3.175796509E0,-2.413637638E-1,1.198434830E-1,3.187209185E0
3.547485964E0,3.253686190E0,-2.246518135E-1,1.698770523E-1,3.265853712E0
3.564320518E0,3.415715218E0,-2.336657047E-1,7.128715515E-2,3.424440388E0
3.581124362E0,3.458008766E0,-2.484431267E-1,-7.349300385E-2,3.467700944E0
3.597997256E0,3.552470922E0,-1.798000336E-1,-1.773118973E-1,3.561434713E0
3.614873304E0,3.540343285E0,-1.388339996E-1,-1.918668747E-1,3.548255677E0
3.631681725E0,3.501410961E0,-1.206738949E-1,-9.286308289E-2,3.504720311E0
3.648521264E0,3.375823021E0,-9.138917923E-2,3.831195831E-2,3.377277137E0
3.665334395E0,3.234352589E0,-7.334995270E-2,1.024436951E-1,3.236805770E0
3.682189802E0,3.080992699E0,-1.289675236E-1,4.127883911E-2,3.083967019E0
3.699045097E0,2.920398951E0,-1.966073513E-1,-1.027822495E-1,2.928813526E0
3.715878603E0,2.774795294E0,-1.963555813E-1,-1.746282578E-1,2.787209979E0
3.732717511E0,2.635185957E0,-2.763655186E-1,-1.470422745E-1,2.653715199E0
3.749537204E0,2.468624115E0,-3.655087948E-1,3.704929352E-2,2.495811361E0
3.766390373E0,2.348512888E0,-3.618235588E-1,3.202381134E-1,2.397703385E0
3.783241346E0,2.281086445E0,-3.665256500E-1,4.805164337E-1,2.359786529E0
3.800074609E0,2.154324055E0,-3.771736622E-1,4.565343857E-1,2.234232698E0
3.816909711E0,1.967668533E0,-4.116501808E-1,3.338117599E-1,2.037794303E0
3.833756321E0,1.821343422E0,-4.216952324E-1,1.577672958E-1,1.876168769E0
3.850586999E0,1.594318390E0,-4.640192986E-1,1.340703964E-1,1.665875118E0
3.867437188E0,1.424319386E0,-4.922695160E-1,2.671642303E-1,1.530487412E0
3.884244450E0,1.265636206E0,-4.740142822E-1,3.674526215E-1,1.400552025E0
3.901084171E0,9.599400759E-1,-4.964823723E-1,3.846139908E-1,1.147130166E0
3.917949365E0,6.612143517E-1,-5.546174049E-1,2.346191406E-1,8.943439080E-1
3.934788171E0,3.917142749E-1,-5.502603054E-1,1.033067703E-1,6.832999090E-1
3.951627649E0,1.441936791E-1,-5.646722317E-1,1.205158234E-1,5.951223488E-1
3.968460239E0,-2.493539453E-2,-5.213508606E-1,2.475814819E-1,5.776894355E-1
3.985323765E0,-2.352018952E-1,-4.600055218E-1,3.507671356E-1,6.244698512E-1
4.002122501E0,-4.502322376E-1,-4.016010761E-1,3.213958740E-1,6.835845229E-1
4.018978255E0,-6.325685978E-1,-3.685579300E-1,2.633590698E-1,7.780334044E-1
4.035829502E0,-8.137326837E-1,-3.455424309E-1,2.734775543E-1,9.253920384E-1
4.052639196E0,-1.017581463E0,-3.155686855E-1,2.934665680E-1,1.105069344E0
4.069496179E0,-1.153076053E0,-2.341115475E-1,2.566766739E-1,1.204273854E0
4.086344791E0,-1.277235031E0,-1.670546532E-1,2.099599838E-1,1.305112936E0
4.103154585E0,-1.450729609E0,-1.631186008E-1,1.122274399E-1,1.464178634E0
4.120010787E0,-1.585838079E0,-1.461656094E-1,5.812454224E-2,1.593620175E0
4.136842950E0,-1.698433280E0,-8.070302010E-2,4.100227356E-2,1.700843841E0
4.153692581E0,-1.781463742E0,-4.205346107E-2,9.052753448E-2,1.784258051E0
4.170543675E0,-1.815567613E0,-6.698632240E-2,1.840000153E-1,1.826096637E0
4.187376937E0,-1.783863544E0,-2.256822586E-2,2.820520401E-1,1.806164949E0
4.204205896E0,-1.612307906E0,6.287598610E-2,2.850675583E-1,1.638521799E0
4.221036015E0,-1.420608878E0,1.345794201E-1,2.273073196E-1,1.444960146E0
4.237894119E0,-1.256800532E0,1.644079685E-1,2.623958588E-1,1.294383693E0
4.254734227E0,-1.157666206E0,6.976413727E-2,2.177648544E-1,1.180033733E0
4.271560816E0,-1.135462999E0,-2.022480965E-2,3.066501617E-1,1.176316109E0
4.288411372E0,-9.964939952E-1,-6.288290024E-2,4.758319855E-1,1.106060857E0
4.305252721E0,-7.428898811E-1,-9.287214279E-2,6.134376526E-1,9.678927441E-1
4.322087692E0,-4.671478868E-1,-1.229310036E-1,6.098384857E-1,7.779731090E-1
4.338929612E0,-2.431525886E-1,-2.183055878E-1,4.475154877E-1,5.541214873E-1
4.355743027E0,-8.792278171E-2,-3.594162464E-1,3.459272385E-1,5.065334224E-1
4.372602768E0,9.668719769E-2,-4.616875648E-1,2.548513412E-1,5.361464612E-1
4.389452795E0,2.868997455E-1,-5.203557014E-1,2.111320496E-1,6.306015083E-1
4.406279486E0,5.087120533E-1,-6.138000488E-1,2.247838974E-1,8.282911648E-1
4.423135321E0,6.653576493E-1,-6.387658119E-1,7.766437531E-2,9.256102415E-1
4.439961930E0,8.907105923E-1,-6.763014793E-1,1.199674606E-1,1.124784976E0
4.456799079E0,3.139466643E-1,-1.340876341E0,2.501688004E-1,1.399677212E0
4.473650641E0,-7.156575918E-1,-2.522517920E0,-4.225645065E-1,2.655903463E0
4.490502661E0,-1.996210814E-1,-2.080993176E0,-3.789596558E-1,2.124615634E0
4.507328893E0,4.326769710E-1,-1.601601362E0,2.367591858E-2,1.659185594E0
4.524158321E0,1.141238689E0,-1.183154106E0,3.001289368E-1,1.671034639E0
4.540980352E0,1.439744949E0,-7.367882729E-1,1.821117401E-1,1.627540219E0
4.557835791E0,1.984374762E0,-3.430633545E-1,-6.525325775E-2,2.014868146E0
4.574684332E0,1.630639672E0,-3.771188259E-1,-1.312675476E-1,1.678819680E0
4.591519049E0,1.866462231E0,-3.889110088E-1,1.084089279E-1,1.909629683E0
4.608358028E0,4.130985260E0,7.737805843E-1,7.728719711E-1,4.273301615E0
4.692528897E0,3.146789312E0,-1.324477196E-1,7.833013535E-1,3.245517892E0
4.709364834E0,3.576964378E0,-4.423999786E-2,1.126928329E0,3.750546467E0
4.726238694E0,2.950463772E0,5.981326103E-2,6.846628189E-1,3.029451645E0
4.743052659E0,2.298632860E0,2.403974533E-1,-1.815071106E-1,2.318285744E0
4.759917508E0,1.613459229E0,7.968807220E-2,-9.902753830E-1,1.894794503E0
4.776744433E0,1.902683020E0,-1.556928158E-1,-1.129389286E0,2.218098980E0
4.793564095E0,1.817319036E0,-5.813765526E-2,-7.891235352E-1,1.982106056E0
4.810426684E0,1.502334118E0,-4.031968117E-2,-9.566402435E-2,1.505916692E0
4.827244788E0,1.176746368E0,-3.044862747E-1,5.330018997E-1,1.327228289E0
4.844103106E0,7.181171179E-1,-6.304535866E-1,5.367774963E-1,1.096035584E0
4.860946520E0,5.335745811E-1,-6.043393612E-1,4.501295090E-1,9.233333482E-1
4.877785997E0,6.710428596E-1,-2.870371342E-1,1.832447052E-1,7.525074470E-1
4.894622555E0,8.671991825E-1,-9.275341034E-2,-1.080474854E-1,8.788127653E-1
4.911467383E0,7.627698779E-1,-1.108388901E-1,-1.714544296E-1,7.896200147E-1
4.928304359E0,8.357301354E-1,3.671979904E-2,-9.680461884E-2,8.421189567E-1
4.945142687E0,5.548583269E-1,4.891395569E-3,1.975059509E-1,5.889824185E-1
4.961954119E0,6.434352994E-1,-1.918339729E-1,3.124065399E-1,7.405451397E-1
4.978816159E0,6.354019642E-1,-2.307095528E-1,7.705688477E-2,6.803677809E-1
4.995667101E0,6.494334936E-1,-1.885452271E-1,3.053474426E-2,6.769383546E-1
5.012500556E0,6.972346902E-1,-1.985926628E-1,8.944034576E-2,7.304620691E-1
5.029338396E0,6.149626970E-1,-2.091946602E-1,2.718734741E-2,6.501389670E-1
5.046152921E0,5.324866772E-1,-3.333346844E-1,2.605533600E-1,6.801044968E-1
5.063007516E0,4.508818686E-1,-4.278769493E-1,3.465499878E-1,7.116670831E-1
5.079868528E0,4.395756125E-1,-3.880109787E-1,2.444467545E-1,6.352428311E-1
5.096696002E0,6.066912413E-1,-2.776570320E-1,2.393054962E-2,6.676378965E-1
5.113534910E0,5.657039881E-1,-1.149020195E-1,-1.029284954E0,1.180106348E0
5.130372119E0,1.110707164E0,5.398130417E-2,7.411289215E-2,1.114485130E0
5.147214151E0,1.028008461E0,-2.005124092E-1,5.308294296E-1,1.174217401E0
5.164042173E0,8.474576473E-1,-9.870195389E-2,4.961109161E-2,8.546272873E-1
5.180898517E0,1.281644583E0,-6.829547882E-2,-4.965143204E-1,1.376155362E0
